council,year,measure,value,sex
South Ayrshire,2014 - 2016,Life Expectancy,80.76,Female
South Lanarkshire,2014 - 2016,Life Expectancy,80.67,Female
Stirling,2014 - 2016,Life Expectancy,82.25,Female
West Dunbartonshire,2014 - 2016,Life Expectancy,78.85,Female
West Lothian,2014 - 2016,Life Expectancy,80.78,Female
Scotland,2015 - 2017,Life Expectancy,81.08,Female
Aberdeen City,2015 - 2017,Life Expectancy,81.05,Female
Aberdeenshire,2015 - 2017,Life Expectancy,82.57,Female
Angus,2015 - 2017,Life Expectancy,81.63,Female
Argyll and Bute,2015 - 2017,Life Expectancy,82.24,Female
City of Edinburgh,2015 - 2017,Life Expectancy,82.33,Female
Clackmannanshire,2015 - 2017,Life Expectancy,80.2,Female
Dumfries and Galloway,2015 - 2017,Life Expectancy,81.77,Female
Dundee City,2015 - 2017,Life Expectancy,79.36,Female
East Ayrshire,2015 - 2017,Life Expectancy,79.96,Female
East Dunbartonshire,2015 - 2017,Life Expectancy,83.33,Female
East Lothian,2015 - 2017,Life Expectancy,82.52,Female
East Renfrewshire,2015 - 2017,Life Expectancy,83.75,Female
Falkirk,2015 - 2017,Life Expectancy,80.51,Female
Fife,2015 - 2017,Life Expectancy,80.81,Female
Glasgow City,2015 - 2017,Life Expectancy,78.73,Female
Highland,2015 - 2017,Life Expectancy,82.6,Female
Inverclyde,2015 - 2017,Life Expectancy,79.68,Female
Midlothian,2015 - 2017,Life Expectancy,81.63,Female
Moray,2015 - 2017,Life Expectancy,81.93,Female
Na h-Eileanan Siar,2015 - 2017,Life Expectancy,82.77,Female
North Ayrshire,2015 - 2017,Life Expectancy,80.16,Female
North Lanarkshire,2015 - 2017,Life Expectancy,79.42,Female
Orkney Islands,2015 - 2017,Life Expectancy,81.69,Female
Perth and Kinross,2015 - 2017,Life Expectancy,82.46,Female
Renfrewshire,2015 - 2017,Life Expectancy,80.22,Female
Scottish Borders,2015 - 2017,Life Expectancy,82.36,Female
Shetland Islands,2015 - 2017,Life Expectancy,83.19,Female
South Ayrshire,2015 - 2017,Life Expectancy,81.14,Female
South Lanarkshire,2015 - 2017,Life Expectancy,80.7,Female
Stirling,2015 - 2017,Life Expectancy,82.57,Female
West Dunbartonshire,2015 - 2017,Life Expectancy,79.09,Female
West Lothian,2015 - 2017,Life Expectancy,80.97,Female
Scotland,2016 - 2018,Life Expectancy,81.08,Female
Aberdeen City,2016 - 2018,Life Expectancy,81.14,Female
Aberdeenshire,2016 - 2018,Life Expectancy,82.9,Female
Angus,2016 - 2018,Life Expectancy,81.76,Female
Argyll and Bute,2016 - 2018,Life Expectancy,81.84,Female
City of Edinburgh,2016 - 2018,Life Expectancy,82.29,Female
Clackmannanshire,2016 - 2018,Life Expectancy,80.67,Female
Dumfries and Galloway,2016 - 2018,Life Expectancy,81.76,Female
Dundee City,2016 - 2018,Life Expectancy,79.23,Female
East Ayrshire,2016 - 2018,Life Expectancy,79.96,Female
East Dunbartonshire,2016 - 2018,Life Expectancy,83.38,Female
East Lothian,2016 - 2018,Life Expectancy,82.37,Female
East Renfrewshire,2016 - 2018,Life Expectancy,83.57,Female
Falkirk,2016 - 2018,Life Expectancy,80.3,Female
Fife,2016 - 2018,Life Expectancy,81,Female
Glasgow City,2016 - 2018,Life Expectancy,78.66,Female
Highland,2016 - 2018,Life Expectancy,82.35,Female
Inverclyde,2016 - 2018,Life Expectancy,79.6,Female
Midlothian,2016 - 2018,Life Expectancy,81.68,Female
Moray,2016 - 2018,Life Expectancy,81.68,Female
Na h-Eileanan Siar,2016 - 2018,Life Expectancy,82.75,Female
North Ayrshire,2016 - 2018,Life Expectancy,79.88,Female
North Lanarkshire,2016 - 2018,Life Expectancy,79.61,Female
Orkney Islands,2016 - 2018,Life Expectancy,82.07,Female
Perth and Kinross,2016 - 2018,Life Expectancy,82.81,Female
Renfrewshire,2016 - 2018,Life Expectancy,80.41,Female
Scottish Borders,2016 - 2018,Life Expectancy,82.09,Female
Shetland Islands,2016 - 2018,Life Expectancy,83.37,Female
South Ayrshire,2016 - 2018,Life Expectancy,81.26,Female
South Lanarkshire,2016 - 2018,Life Expectancy,80.63,Female
Stirling,2016 - 2018,Life Expectancy,82.83,Female
West Dunbartonshire,2016 - 2018,Life Expectancy,79.2,Female
West Lothian,2016 - 2018,Life Expectancy,80.78,Female
Scotland,2017 - 2019,Life Expectancy,81.14,Female
Aberdeen City,2017 - 2019,Life Expectancy,81.4,Female
Aberdeenshire,2017 - 2019,Life Expectancy,82.52,Female
Angus,2017 - 2019,Life Expectancy,82.26,Female
Argyll and Bute,2017 - 2019,Life Expectancy,81.69,Female
City of Edinburgh,2017 - 2019,Life Expectancy,82.5,Female
Clackmannanshire,2017 - 2019,Life Expectancy,80.7,Female
Dumfries and Galloway,2017 - 2019,Life Expectancy,81.44,Female
Dundee City,2017 - 2019,Life Expectancy,79.48,Female
East Ayrshire,2017 - 2019,Life Expectancy,79.81,Female
East Dunbartonshire,2017 - 2019,Life Expectancy,83.65,Female
East Lothian,2017 - 2019,Life Expectancy,82.72,Female
East Renfrewshire,2017 - 2019,Life Expectancy,83.96,Female
Falkirk,2017 - 2019,Life Expectancy,80.46,Female
Fife,2017 - 2019,Life Expectancy,81.15,Female
Glasgow City,2017 - 2019,Life Expectancy,78.5,Female
Highland,2017 - 2019,Life Expectancy,81.91,Female
Inverclyde,2017 - 2019,Life Expectancy,79.01,Female
Midlothian,2017 - 2019,Life Expectancy,81.5,Female
Moray,2017 - 2019,Life Expectancy,81.47,Female
Na h-Eileanan Siar,2017 - 2019,Life Expectancy,83.39,Female
North Ayrshire,2017 - 2019,Life Expectancy,79.98,Female
North Lanarkshire,2017 - 2019,Life Expectancy,79.6,Female
Orkney Islands,2017 - 2019,Life Expectancy,82.26,Female
Perth and Kinross,2017 - 2019,Life Expectancy,83.26,Female
Renfrewshire,2017 - 2019,Life Expectancy,80.7,Female
Scottish Borders,2017 - 2019,Life Expectancy,81.93,Female
Shetland Islands,2017 - 2019,Life Expectancy,83.21,Female
South Ayrshire,2017 - 2019,Life Expectancy,81.64,Female
South Lanarkshire,2017 - 2019,Life Expectancy,81.06,Female
Stirling,2017 - 2019,Life Expectancy,82.56,Female
West Dunbartonshire,2017 - 2019,Life Expectancy,79.21,Female
West Lothian,2017 - 2019,Life Expectancy,80.97,Female
Scotland,2018 - 2020,Life Expectancy,80.98,Female
Aberdeen City,2018 - 2020,Life Expectancy,81.26,Female
Aberdeenshire,2018 - 2020,Life Expectancy,82.44,Female
Angus,2018 - 2020,Life Expectancy,82.27,Female
Argyll and Bute,2018 - 2020,Life Expectancy,81.57,Female
City of Edinburgh,2018 - 2020,Life Expectancy,82.36,Female
Clackmannanshire,2018 - 2020,Life Expectancy,80.62,Female
Dumfries and Galloway,2018 - 2020,Life Expectancy,81.47,Female
Dundee City,2018 - 2020,Life Expectancy,79.38,Female
East Ayrshire,2018 - 2020,Life Expectancy,79.81,Female
East Dunbartonshire,2018 - 2020,Life Expectancy,83.43,Female
East Lothian,2018 - 2020,Life Expectancy,82.86,Female
East Renfrewshire,2018 - 2020,Life Expectancy,83.96,Female
Falkirk,2018 - 2020,Life Expectancy,80.36,Female
Fife,2018 - 2020,Life Expectancy,81.41,Female
Glasgow City,2018 - 2020,Life Expectancy,78.28,Female
Highland,2018 - 2020,Life Expectancy,81.86,Female
Inverclyde,2018 - 2020,Life Expectancy,78.59,Female
Midlothian,2018 - 2020,Life Expectancy,81.17,Female
Moray,2018 - 2020,Life Expectancy,81.82,Female
Na h-Eileanan Siar,2018 - 2020,Life Expectancy,83.03,Female
North Ayrshire,2018 - 2020,Life Expectancy,80.1,Female
North Lanarkshire,2018 - 2020,Life Expectancy,79.21,Female
Orkney Islands,2018 - 2020,Life Expectancy,83.49,Female
Perth and Kinross,2018 - 2020,Life Expectancy,82.88,Female
Renfrewshire,2018 - 2020,Life Expectancy,80.4,Female
Scottish Borders,2018 - 2020,Life Expectancy,82.1,Female
Shetland Islands,2018 - 2020,Life Expectancy,83.21,Female
South Ayrshire,2018 - 2020,Life Expectancy,81.14,Female
South Lanarkshire,2018 - 2020,Life Expectancy,80.48,Female
Stirling,2018 - 2020,Life Expectancy,81.92,Female
West Dunbartonshire,2018 - 2020,Life Expectancy,78.83,Female
West Lothian,2018 - 2020,Life Expectancy,80.47,Female
